h_height,l_px, l_py, l_pz,r_px, r_py, r_pz,w_px, w_py, w_pz,h_rx, h_ry, h_rz, h_rw,l_rx, l_ry, l_rz, l_rw,r_rx, r_ry, r_rz, r_rw,w_rx, w_ry, w_rz, w_rw,h_v,l_vx, l_vy, l_vz,r_vx, r_vy, r_vz,w_vx, w_vy, w_vz,
0.3434282,-0.1407398,-0.3013029,0.254214,0.09752586,0.1779305,0.1673765,0.03513967,-0.3478823,0.06981588,0.8869387,0.06160292,-0.0456932,0.4554749,-0.5656221,0.4698297,0.5206814,0.4338479,0.5323837,0.628464,-0.3215592,-0.4671206,-0.6393925,-0.06328135,0.03659122,0.7653981,0.4953716,-0.1717182,-0.2850445,-0.03334993,0.1811139,-0.4400631,0.7488921,0.006218045,-0.1380213,-0.1855189,
0.3465384,-0.141759,-0.3029428,0.2539973,0.09875605,0.1750541,0.1718306,0.0351621,-0.348721,0.06871418,0.8843714,0.06134849,-0.04690126,0.4603525,-0.5619285,0.4692597,0.5209533,0.4389087,0.5165138,0.6349265,-0.3092077,-0.4842253,-0.6360497,-0.06255431,0.03657491,0.7682385,0.4805922,-0.1574942,-0.2534091,-0.03348824,0.1900914,-0.4444767,0.6882451,0.003465908,-0.1296012,-0.1702365,
0.3500921,-0.142864,-0.3046709,0.2537407,0.1001142,0.1716765,0.1766102,0.03516629,-0.349654,0.06751435,0.881436,0.06094667,-0.04826177,0.4658618,-0.5583894,0.4683416,0.5210838,0.444219,0.4995149,0.6411743,-0.2964493,-0.5014973,-0.6322643,-0.06163586,0.03655438,0.7714318,0.5962164,-0.1853889,-0.2899183,-0.04303974,0.2278586,-0.5666566,0.8018752,0.0007024958,-0.1565291,-0.2012976,
0.3535814,-0.1438982,-0.3062498,0.2534798,0.101358,0.1683197,0.1809991,0.03514783,-0.3505507,0.06638177,0.8785431,0.06044877,-0.04957601,0.4712224,-0.5555894,0.4671364,0.5210553,0.4490066,0.4840916,0.6463578,-0.2853388,-0.5161977,-0.6285674,-0.06064828,0.03652856,0.7745263,0.5842645,-0.1731744,-0.2643739,-0.04368971,0.2082722,-0.5620877,0.7349154,-0.003090217,-0.1501519,-0.1896435,
0.3572855,-0.1450069,-0.307818,0.2531779,0.1025919,0.1647543,0.1853612,0.03510145,-0.3514877,0.06521397,0.8754529,0.05983181,-0.05093688,0.4768732,-0.5533084,0.4655129,0.5208256,0.45375,0.469057,0.651026,-0.2749937,-0.529651,-0.6246526,-0.05952827,0.03648616,0.7777755,0.5678482,-0.1699661,-0.240416,-0.04627673,0.1891548,-0.5465761,0.6687122,-0.007110666,-0.1436411,-0.1790259,
0.3615401,-0.1465734,-0.3094754,0.2527274,0.1039177,0.1606709,0.1900633,0.03500234,-0.3525521,0.06389379,0.8718705,0.05907992,-0.05240773,0.4833275,-0.5515158,0.4631954,0.5200692,0.4591404,0.4533481,0.6555606,-0.2647986,-0.5427696,-0.6201614,-0.05823006,0.03638512,0.7814639,0.6574786,-0.2420739,-0.2561182,-0.06962058,0.2048769,-0.6310157,0.7266294,-0.01531485,-0.1644836,-0.2040122,
0.3659668,-0.1485066,-0.3110666,0.2521472,0.1052,0.1564712,0.1946425,0.03484702,-0.3536504,0.06253048,0.8680996,0.05824676,-0.05383699,0.4900128,-0.5505522,0.4602452,0.5187743,0.464695,0.4387578,0.6595225,-0.2560471,-0.5540422,-0.6154874,-0.05685908,0.0362158,0.7852587,0.6097368,-0.2662767,-0.2191814,-0.07992551,0.1766305,-0.5784829,0.6307567,-0.02139454,-0.1512879,-0.187786,
0.3711542,-0.1509024,-0.3127128,0.2513996,0.106586,0.1516399,0.1996575,0.03460113,-0.3549238,0.06094155,0.8636321,0.05721765,-0.05539774,0.4977925,-0.5503766,0.4562816,0.5171864,0.470545,0.4238987,0.6633908,-0.2481294,-0.5644963,-0.6100281,-0.05522926,0.03594526,0.7896354,0.8558266,-0.3952681,-0.2715805,-0.1233384,0.2286702,-0.7970755,0.8273705,-0.04056745,-0.2100859,-0.2621439,
0.3756472,-0.1529268,-0.3139217,0.2507429,0.107689,0.1475537,0.2037284,0.03433457,-0.3560126,0.05957089,0.8597275,0.05628978,-0.05665972,0.5044697,-0.5508034,0.4526306,0.5161324,0.47471,0.4129839,0.6661938,-0.2432852,-0.5713521,-0.6053308,-0.05380069,0.03565506,0.7933529,0.7472315,-0.3366831,-0.2010563,-0.1092192,0.1834301,-0.6795667,0.6770291,-0.04433188,-0.1810721,-0.2279522,
0.3802459,-0.1549672,-0.3149914,0.2500592,0.108717,0.1434905,0.2076487,0.03401406,-0.3571129,0.05817156,0.8556991,0.05530601,-0.05786914,0.5112456,-0.5516922,0.4487393,0.5152841,0.4782814,0.4036998,0.6686329,-0.2402177,-0.5764144,-0.6005546,-0.05231943,0.03530638,0.797089,0.70003,-0.3105873,-0.1628415,-0.1040743,0.1564948,-0.6185117,0.5967655,-0.04878892,-0.1674915,-0.2130106,
